acl 2.2.53-3
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.3-1
perl-error 0.17029-1
perl-mailtools 2.21-3
perl-timedate 2.33-1
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.116-5
poppler 0.88.0-1
poppler-glib 0.88.0-1
popt 1.16-12
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
python 3.8.3-1
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-attrs 19.3.0-4
python-bcrypt 3.1.7-3
python-cached-property 1.5.1-4
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-click 7.1.2-1
python-cryptography 2.9.2-1
python-distro 1.5.0-1
python-docker 4.2.1-1
python-docker-pycreds 0.4.0-5
python-dockerpty 0.4.1-6
python-docopt 0.6.2-7
python-dotenv 0.13.0-2
python-idna 2.9-1
python-importlib-metadata 1.6.0-1
python-jsonschema 3.2.0-2
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-paramiko 2.7.1-2
python-ply 3.11-5
python-pycparser 2.20-1
python-pynacl 1.3.0-4
python-pyparsing 2.4.7-1
python-pyrsistent 0.16.0-1
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-setuptools 1:47.3.0-1
python-shiboken2 5.15.0-1
python-six 1.15.0-1
python-texttable 1.6.2-3
python-urllib3 1.25.9-1
python-websocket-client 0.57.0-1
python-yaml 5.3.1-1
python-zipp 3.1.0-1
qt5-base 5.15.0-3
qt5-imageformats 5.15.0-1
readline 8.0.004-1
recode 3.7.6-2
rest 0.8.1-3
rtkit 0.13-1
rubberband 1.8.2-3
run-parts 4.8.6.1-2
runc 1.0.0rc90-1
sdl2 2.0.12-1
sed 4.8-1
semver 7.3.2-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
slock 1.4-3
smbclient 4.12.3-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.2-1
sqlite 3.32.2-1
srt 1.4.1-2
sudo 1.9.0-1
sxiv 26-1
sysfsutils 2.1.0-11
systemd 245.6-6
systemd-libs 245.6-6
systemd-sysvcompat 245.6-6
talloc 2.3.1-2
tar 1.32-3
tdb 1.4.3-2
telegram-desktop 2.1.11-1
tevent 1:0.10.2-1
texinfo 6.7-3
the_silver_searcher 2.2.0-1
tree 1.8.0-2
tslib 1.21-2
tzdata 2020a-1
uchardet 0.0.7-1
unclutter 1:1.5-1
unibilium 2.1.0-2
unzip 6.0-14
util-linux 2.35.2-1
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vim 8.2.0814-2
vim-runtime 8.2.0814-2
vmaf 1.5.1-1
vulkan-icd-loader 1.2.141-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
wpa_supplicant 2:2.9-7
x264 3:0.159.r2999.296494a-1
x265 3.4-1
xbitmaps 1.1.2-2
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
